Meat Type,CO2,Water,Grain,Land
Poultry,3.37,468,4.2,50
Beef,15,1799,6.6,250
Pork,6.75,576,4.2,70
Lamb,16,731,3.1,
Goat,13,127,2.9,
,,,pounds/pound,m^2/lb
