Food Item,Meat Type,Amount (oz)
Lamb (1 Serving),Lamb,4
Kebab (Lamb),Lamb,4.5
Stew (Lamb),Lamb,2.4
Pie (Lamb),Lamb,2.6
Chops (Lamb),Lamb,4
Samosa (Lamb),Lamb,3
