Ingredient,LitersKg
Chocolate,"17,196"
Beef,"15,415"
Lamb,"10,412"
Pork,"5,988"
Butter,"5,553"
Chicken,"4,325"
Cheese,"3,178"
Olives,"3,025"
Rice,"2,497"
Pasta,"1,849"
Bread,"1,608"
Apple,822
Banana,790
Potatoes,287
Milk (/glass),255
Cabbage,237
Tomato,214
Egg (item),196
