Food Item,Meat Type,Amount (oz)
Hot Dog,Pork,4
Pulled Pork,Pork,3
Pork Chops,Pork,5
Ham,Pork,3
Pork (1 Serving),Pork,4
Sandwich (Pork),Pork,3
Burger (Pork),Pork,4
Schnitzel (Pork),Pork,6
Bacon,Pork,1.5
Ribs (Pork),Pork,3
Pie (Pork),Pork,2.8
Pizza (Ham),Pork,1.3
Pizza (Pork),Pork,4
Pizza (Bacon),Pork,2
Noodles (Pork),Pork,4
Stirfry (Pork),Pork,2.5
