Food Item,Meat Type,Amount (oz)
Hamburger Patty,Beef,4
Steak,Beef,6
Roast Beef,Beef,4
Beef (1 Serving),Beef,4
Hot Dog,Pork,4
Pulled Pork,Pork,3
Pork Chops,Pork,5
Ham,Pork,3
Pork (1 Serving),Pork,4
Lamb (1 Serving),Lamb,4
Chicken Fingers,Chicken,4
Chicken Salad,Chicken,4
Chicken Breast,Chicken,4
Chicken Wings,Chicken,5
Chicken (1 Serving),Chicken,3
Turkey Cold Cuts,Turkey,4
Turkey (1 Serving),Turkey,4
